Part ID,Machine Part,URL,Tile ID
1,I can't identify any machine components in the image.,https://www.bossard.com/eshop/global-en/,1
2,Roller,https://www.bossard.com/ch-de/,2
3,adhesive tape,https://americas.bossard.com/tape-adhesives/adhesive-tapes/?srsltid=AfmBOoroV8JeTUh1heamJxSaiE5El9fcLc8oe2V-mdkL8QRxr2U9atqi,2
4,feed mechanism,https://www.bossard.com/ch-en/,2
5,control panel,https://www.bossard.com/ch-en/,2
6,emergency stop button,https://www.norelem.ch/en/Product-overview/Electromechanics/81000/Emergency-stop-button/c/25088,2
7,support arms.,Not available,2
8,I can't identify any machine components in the image.,https://www.bossard.com/eshop/global-en/,3
9,Frame,https://www.bossard.com/eshop/ch-en/direct-assembly-screws-for-wood/hexalobular-6-lobe-socket-cheese-head-frame-screws/p/20924/,4
10,mounting plate,https://www.bossard.com/eshop/ch-en/industrial-enclosures/mounting-plates-for-enclosures-and-junction-boxes/c/03.100.600.60/,4
11,screw holes,https://www.bossard.com/ch-en/assembly-technology-expert/technical-information-and-tools/online-calculators-and-converters/drill-hole-size-for-tapped-threads/,4
12,support legs.,https://www.bossard.com/global-en/about-us/contact/,4
13,Conveyor belt,https://www.bossard.com/ch-fr/smart-factory-logistics/blog/2019/11/how-to-eliminate-wasted-movement-in-your-factory-with-last-mile-management/,5
14,control panel,https://www.bossard.com/ch-en/,5
15,box,https://nederland.bossard.com/de/metrische-verbindungselemente/assortimente/assortimente-befestigungsartikel/assorta20680000,5
16,roller,Not available,5
17,support frame,https://www.bossard.com/ch-en/,5
18,packaging mechanism.,https://www.bossard.com/ch-en/,5
19,Box,https://nederland.bossard.com/de/metrische-verbindungselemente/assortimente/assortimente-befestigungsartikel/assorta20680000,6
20,table,https://www.bossard.com/global-en/assembly-technology-expert/technical-information-and-tools/technical-information/conversion-tables/,6
21,yellow handle,https://www.bossard.com/eshop/ch-en/access-solutions/operating-and-control-elements/clamping-handles/c/03.200.100.10/,6
22,gray surface,https://www.bossard.com/global-en/product-solutions/real-time-manufacturing-services/rms/coatings-and-additional-treatments/,6
23,Caster wheel,https://www.bossard.com/ch-en/product-solutions/industries/medical-life-science/,7
24,metal frame,https://www.bossard.com/ch-en/,7
25,mounting bracket.,https://www.bossard.com/eshop/ch-en/products/functional-elements/electrical-products/mountings-for-cables-and-pipes/c/03.100.700/,7
26,Wheels,https://www.bossard.com/eshop/global-en/operating-and-control-elements/levelling-elements/wheels-and-castors/c/03.200.100.20/,8
27,caster mounts,https://www.bossard.com/eshop/global-en/operating-and-control-elements/levelling-elements/wheels-and-castors/c/03.200.100.20/,8
28,frame,https://www.bossard.com/eshop/ch-en/direct-assembly-screws-for-wood/hexalobular-6-lobe-socket-cheese-head-frame-screws/p/20924/,8
29,disc,https://www.bossard.com/eshop/ch-en/securing-and-anti-loosening-washers/spring-washers/disc-springs/p/805/,8
30,support structure.,https://www.bossard.com/ch-en/,8
31,Caster wheel,https://www.bossard.com/eshop/global-en/operating-and-control-elements/levelling-elements/wheels-and-castors/c/03.200.100.20/,9
32,bracket,https://www.bossard.com/eshop/ch-en/snodi-angolari-forcelle-teste-a-snodo/snodi-angolari/camloc-motion-control/p/56154/,9
33,frame.,https://www.bossard.com/eshop/ch-en/direct-assembly-screws-for-wood/hexalobular-6-lobe-socket-cheese-head-frame-screws/p/20924/,9
